Risk ID,Threat Description,Affected Component,OWASP LLM Ref,NIST AI RMF Category,Likelihood,Impact,Risk Score,Risk Level,Recommended Control,Control Owner,Status
AI-001,Direct prompt injection bypasses system prompt guardrails,LLM API,LLM01,MANAGE,4,5,20,Critical,"Input validation layer, output filtering, adversarial/red-team testing of prompts",Engineering,Open
AI-002,"Indirect prompt injection via retrieved/ingested documents causes the model to take unintended actions",LLM API,"LLM01, LLM08",MANAGE,3,5,15,High,"Treat retrieved content as untrusted data (never as instructions); strip/neutralise embedded directives before adding to context",Engineering,Open
AI-003,Model leaks system prompt or memorised training data fragments in responses,LLM API,LLM06,MEASURE,3,3,9,Medium,"Output monitoring with canary tokens; response filtering for system-prompt leakage",Engineering,Open
AI-004,Token flooding / adversarial long inputs exhaust API quota and cost ceiling,LLM API,LLM04,MANAGE,3,3,9,Medium,"Per-session and per-account token/cost quotas; anomaly-based throttling",Engineering,Open
AI-005,PII over-retrieval exposes other customers' data in the active context window,RAG Pipeline,LLM06,MANAGE,4,5,20,Critical,"Implement retrieval scoping by authenticated user/session ID; enforce row-level security in Postgres",Data Engineering,Open
AI-006,Crafted queries retrieve data for accounts other than the authenticated user (broken retrieval scoping),RAG Pipeline,LLM02,MANAGE,4,5,20,Critical,"Enforce retrieval scoping and validate query parameters against session identity server-side",Data Engineering,Open
AI-007,Attacker-controlled content ingested into the knowledge base poisons retrieval results,RAG Pipeline,LLM03,MEASURE,2,4,8,Low,"Content integrity checks and provenance validation on the knowledge-base ingestion pipeline",Data Engineering,Open
AI-008,Vector store / embedding misconfiguration allows raw document retrieval outside the RAG flow,RAG Pipeline,LLM06,MANAGE,2,4,8,Low,"Harden vector store access controls; restrict direct query access to the retrieval service only",Data Engineering,Open
AI-009,JWT forgery or token replay allows session impersonation,API Gateway,"OWASP API2:2023 (no direct LLM Top 10 mapping)",MANAGE,3,5,15,High,"Short-lived JWTs, signing key rotation, replay detection (nonce/jti tracking)",Security Engineering,Open
AI-010,No per-user rate limiting allows a single account to exhaust shared backend capacity,API Gateway,LLM04,MANAGE,3,3,9,Medium,"Per-user and per-IP rate limiting at the API Gateway layer",Engineering,Open
AI-011,Insufficient authorization checks allow a customer-tier token to reach admin-only endpoints,API Gateway,"OWASP API5:2023 (no direct LLM Top 10 mapping)",MANAGE,4,4,16,High,"Enforce function-level authorization checks server-side for all admin endpoints",Engineering,Open
AI-012,"Logs store full prompts/responses containing PII in plaintext, readable by broad internal staff",Audit Logs,LLM06,GOVERN,4,4,16,High,"Redact/mask PII in logs before persistence; restrict log access via RBAC",Security Engineering,Open
AI-013,Logs are not tamper-evident so actions cannot be reliably attributed after an incident,Audit Logs,"OWASP A09:2021 (no direct LLM Top 10 mapping)",GOVERN,2,3,6,Low,"Enable write-once/immutable log storage (e.g. S3 Object Lock) with cryptographic integrity checks",Security Engineering,Open
AI-014,"Log pipeline lacks immutable storage, allowing deletion or alteration of evidence post-incident",Audit Logs,"OWASP A09:2021 (no direct LLM Top 10 mapping)",MANAGE,2,3,6,Low,"Immutable/write-once log storage (same control as AI-013)",Security Engineering,Open
AI-015,"LLM-recommended actions (ticket escalation, refund initiation) are auto-executed without human confirmation (excessive agency)",Admin Panel,LLM08,GOVERN,4,5,20,Critical,"Require human-in-the-loop confirmation for any account-impacting action recommended by the LLM",Product / Engineering,Open
AI-016,"Admin panel authentication lacks MFA, increasing account takeover risk for high-privilege users",Admin Panel,"OWASP A07:2021 (no direct LLM Top 10 mapping)",MANAGE,3,4,12,Medium,Enforce MFA for all admin panel accounts,IT Security,Open
